Title,Genre,Year,Rating,Revenue (Millions)
Inception,Sci-Fi,2010,8.8,829.9
Interstellar,Sci-Fi,2014,8.6,677.5
Avatar,Action,2009,7.8,2788.0
Avengers: Endgame,Action,2019,8.4,2797.8
Joker,Drama,2019,8.5,1074.1
Dune,Sci-Fi,2021,8.0,402.0
